id_match,home_team_id,away_team_id,home_result,away_result,result,extra_time,penalties,replay,date,round,city,id_stadium,edition
54,Brazil,Korea Republic,4,1,home_team,False,False,False,2022-12-05,Round of 16,Doha,Stadium 974,2022
55,Morocco,Spain,0,0,home_team,True,True,False,2022-12-06,Round of 16,Doha,Education City Stadium,2022
56,Portugal,Switzerland,6,1,home_team,False,False,False,2022-12-06,Round of 16,Al Daayen,Lusail Stadium,2022
57,Croatia,Brazil,1,1,home_team,True,True,False,2022-12-09,Quarter-finals,Doha,Education City Stadium,2022
58,Netherlands,Argentina,2,2,away_team,True,True,False,2022-12-09,Quarter-finals,Al Daayen,Lusail Stadium,2022
59,Morocco,Portugal,1,0,home_team,False,False,False,2022-12-10,Quarter-finals,Doha,Al Thumama Stadium,2022
60,England,France,1,2,away_team,False,False,False,2022-12-10,Quarter-finals,Al Khor,Al Bayt Stadium,2022
61,Argentina,Croatia,3,0,home_team,False,False,False,2022-12-13,Semi-final,Al Daayen,Lusail Stadium,2022
62,France,Morocco,2,0,home_team,False,False,False,2022-12-14,Semi-final,Al Khor,Al Bayt Stadium,2022
63,Croatia,Morocco,2,1,home_team,False,False,False,2022-12-17,Third Place,Ar-Rayyan,Khalifa International Stadium,2022
64,Argentina,France,3,3,home_team,True,True,False,2022-12-18,Final,Al Daayen,Lusail Stadium,2022
