id_match,home_team,away_team,home_result,away_result,date,round,city,edition
46,Hungary,Switzerland,2,0,1938/06/12,Quarter-finals,Lille,1938
47,Italy,France,3,1,1938/06/12,Quarter-finals,Paris,1938
48,Brazil,Czechoslovakia,1,1,1938/06/12,Quarter-finals,Bordeaux,1938
49,Brazil,Czechoslovakia,2,1,1938/06/14,Quarter-finals,Bordeaux,1938
50,Italy,Brazil,2,1,1938/06/16,Semi-finals,Marseille,1938
51,Hungary,Sweden,5,1,1938/06/16,Semi-finals,Paris,1938
52,Brazil,Sweden,4,2,1938/06/19,Third Place,Bordeaux,1938
53,Italy,Hungary,4,2,1938/06/19,Final,Paris,1938
62,Sweden,Finland,4,0,,Preliminary,Stockholm,1938
63,Sweden,Estonia,7,2,,Preliminary,Stockholm,1938
64,Finland,Germany,0,2,,Preliminary,Helsinki,1938
65,Latvia,Lithuania,4,2,,Preliminary,Rīga,1938
66,Finland,Estonia,0,1,,Preliminary,Turku,1938
67,Germany,Estonia,4,1,,Preliminary,Königsberg,1938
68,Lithuania,Latvia,1,5,,Preliminary,Kaunas,1938
69,Austria,Latvia,2,1,,Preliminary,Wien,1938
70,Norway,Irish Free State,3,2,,Preliminary,Oslo,1938
71,Poland,Yugoslavia,4,0,,Preliminary,Warszawa,1938
72,Irish Free State,Norway,3,3,,Preliminary,Dublin,1938
73,Bulgaria,Czechoslovakia,1,1,,Preliminary,Sofija,1938
74,Germany,Sweden,5,0,,Preliminary,Hamburg,1938
75,Netherlands,Luxembourg,4,0,,Preliminary,Rotterdam,1938
76,Palestine,Greece,1,3,,Preliminary,Tel Aviv,1938
77,Greece,Palestine,1,0,,Preliminary,Athína,1938
78,Luxembourg,Belgium,2,3,,Preliminary,Luxembourg,1938
79,Hungary,Greece,11,1,,Preliminary,Budapest,1938
80,Yugoslavia,Poland,1,0,,Preliminary,Beograd,1938
81,Belgium,Netherlands,1,1,,Preliminary,Antwerpen,1938
82,Czechoslovakia,Bulgaria,6,0,,Preliminary,Praha,1938
83,Switzerland,Portugal,2,1,,Preliminary,Milano,1938
84,Switzerland,Germany,1,1,,Preliminary,Paris,1938
85,Italy,Norway,2,1,,Preliminary,Marseille,1938
86,France,Belgium,3,1,,Preliminary,Paris,1938
87,Hungary,Dutch East Indies,6,0,,Preliminary,Reims,1938
88,Cuba,Romania,3,3,,Preliminary,Toulouse,1938
89,Brazil,Poland,6,5,,Preliminary,Strasbourg,1938
90,Czechoslovakia,Netherlands,3,0,,Preliminary,Le Havre,1938
91,Switzerland,Germany,4,2,,Preliminary,Paris,1938
92,Cuba,Romania,2,1,,Preliminary,Toulouse,1938
54,Brazil,Mexico,4,0,1950/06/24,Group Stage,Rio de Janeiro,1950
55,Yugoslavia,Switzerland,3,0,1950/06/25,Group Stage,Belo Horizonte,1950
56,England,Chile,2,0,1950/06/25,Group Stage,Rio de Janeiro,1950
57,Spain,USA,3,1,1950/06/25,Group Stage,Curitiba,1950
58,Sweden,Italy,3,2,1950/06/25,Group Stage,Sao Paulo,1950
59,Brazil,Switzerland,2,2,1950/06/28,Group Stage,Sao Paulo,1950
60,Yugoslavia,Mexico,4,1,1950/06/28,Group Stage,Porto Alegre,1950
61,Spain,Chile,2,0,1950/06/29,Group Stage,Rio de Janeiro,1950
62,USA,England,1,0,1950/06/29,Group Stage,Belo Horizonte,1950
63,Sweden,Paraguay,2,2,1950/06/29,Group Stage,Curitiba,1950
64,Brazil,Yugoslavia,2,0,1950/07/01,Group Stage,Rio de Janeiro,1950
65,Switzerland,Mexico,2,1,1950/07/02,Group Stage,Porto Alegre,1950
66,Spain,England,1,0,1950/07/02,Group Stage,Rio de Janeiro,1950
67,Chile,USA,5,2,1950/07/02,Group Stage,Recife,1950
68,Italy,Paraguay,2,0,1950/07/02,Group Stage,Sao Paulo,1950
69,Uruguay,Bolivia,8,0,1950/07/02,Group Stage,Belo Horizonte,1950
70,Sweden,Italy,3,2,1950/07/02,Group Stage,Sao Paulo,1950
71,Brazil,Sweden,7,1,1950/07/09,Group Stage,Rio de Janeiro,1950
72,Spain,Uruguay,2,2,1950/07/09,Group Stage,Sao Paulo,1950
73,Brazil,Spain,6,1,1950/07/13,Group Stage,Rio de Janeiro,1950
74,Uruguay,Sweden,3,2,1950/07/13,Group Stage,Sao Paulo,1950
75,Sweden,Spain,3,1,1950/07/16,Third Place,Sao Paulo,1950
76,Uruguay,Brazil,2,1,1950/07/16,Final,Rio de Janeiro,1950
102,Sweden,Ireland,3,1,,Preliminary,Stockholm,1950
103,Switzerland,Luxembourg,5,2,,Preliminary,Zürich,1950
104,Yugoslavia,Israel,6,0,,Preliminary,Beograd,1950
105,USA,Mexico,0,6,,Preliminary,México DF,1950
106,Ireland,Finland,3,0,,Preliminary,Dublin,1950
107,Mexico,Cuba,2,0,,Preliminary,México DF,1950
108,Cuba,USA,1,1,,Preliminary,México DF,1950
109,Israel,Yugoslavia,2,5,,Preliminary,Tel Aviv,1950
110,Luxembourg,Switzerland,2,3,,Preliminary,Luxembourg,1950
111,Mexico,USA,6,2,,Preliminary,México DF,1950
112,USA,Cuba,5,2,,Preliminary,México DF,1950
113,Cuba,Mexico,0,3,,Preliminary,México DF,1950
114,Northern Ireland,Scotland,2,8,,Preliminary,Belfast,1950
115,Sweden,Finland,8,1,,Preliminary,Malmö,1950
116,Yugoslavia,France,1,1,,Preliminary,Beograd,1950
117,Finland,Ireland,1,1,,Preliminary,Helsinki,1950
118,Wales,England,1,4,,Preliminary,Cardiff,1950
119,France,Yugoslavia,1,1,,Preliminary,Paris,1950
120,Scotland,Wales,2,0,,Preliminary,Glasgow,1950
121,Ireland,Sweden,1,3,,Preliminary,Dublin,1950
122,England,Northern Ireland,9,2,,Preliminary,Manchester,1950
123,Turkey,Syria,7,0,,Preliminary,Ankara,1950
124,Yugoslavia,France,3,2,,Preliminary,Firenze,1950
125,Bolivia,Chile,2,0,,Preliminary,La Paz,1950
126,Wales,Northern Ireland,0,0,,Preliminary,Wrexham,1950
127,Spain,Portugal,5,1,,Preliminary,Madrid,1950
128,Portugal,Spain,2,2,,Preliminary,Lisboa,1950
129,Scotland,England,0,1,,Preliminary,Glasgow,1950
77,Yugoslavia,France,1,0,1954/06/16,Group Stage,Lausanne,1954
78,Brazil,Mexico,5,0,1954/06/16,Group Stage,Geneva,1954
79,Hungary,Korea Republic,9,0,1954/06/17,Group Stage,Zurich,1954
80,West Germany,Turkey,4,1,1954/06/17,Group Stage,Bern,1954
81,Turkey,Korea Republic,7,0,1954/06/20,Group Stage,Geneva,1954
82,Uruguay,Czechoslovakia,2,0,1954/06/16,Group Stage,Bern,1954
83,Austria,Scotland,1,0,1954/06/16,Group Stage,Zurich,1954
84,England,Belgium,4,4,1954/06/17,Group Stage,Basel,1954
85,Italy,Switzerland,1,2,1954/06/17,Group Stage,Lausanne,1954
86,West Germany,Hungary,3,8,1954/06/20,Group Stage,Basel,1954
87,Uruguay,Scotland,7,0,1954/06/19,Group Stage,Basel,1954
88,Austria,Czechoslovakia,5,0,1954/06/19,Group Stage,Zurich,1954
89,England,Switzerland,2,0,1954/06/20,Group Stage,Bern,1954
90,Italy,Belgium,4,1,1954/06/20,Group Stage,Lugano,1954
91,Switzerland,Italy,4,1,1954/06/23,Group Stage,Basel,1954
92,Brazil,Yugoslavia,1,1,1954/06/19,Group Stage,Lausanne,1954
93,France,Mexico,3,2,1954/06/19,Group Stage,Geneva,1954
94,West Germany,Turkey,7,2,1954/06/23,Group Stage,Zurich,1954
95,Uruguay,Austria,3,1,1954/06/26,Quarter-finals,Lausanne,1954
96,Hungary,Brazil,4,2,1954/06/27,Quarter-finals,Bern,1954
97,West Germany,Yugoslavia,2,0,1954/06/27,Quarter-finals,Geneva,1954
98,England,Switzerland,2,4,1954/06/26,Quarter-finals,Basel,1954
99,Hungary,Uruguay,4,2,1954/06/30,Semi-finals,Lausanne,1954
100,West Germany,Austria,6,1,1954/06/30,Semi-finals,Basel,1954
101,Austria,Uruguay,3,1,1954/07/03,Third Place,Zurich,1954
102,West Germany,Hungary,3,2,1954/07/04,Final,Bern,1954
152,Yugoslavia,Greece,1,0,,Preliminary,Beograd,1954
153,Finland,Belgium,2,4,,Preliminary,Helsinki,1954
154,Sweden,Belgium,2,3,,Preliminary,Stockholm,1954
155,Czechoslovakia,Romania,2,0,,Preliminary,Praha,1954
156,Norway,Saarland,2,3,,Preliminary,Oslo,1954
157,Romania,Bulgaria,3,1,,Preliminary,Bucureşti,1954
158,Mexico,Haiti,8,0,,Preliminary,México DF,1954
159,Finland,Sweden,3,3,,Preliminary,Helsinki,1954
160,Sweden,Finland,4,0,,Preliminary,Stockholm,1954
161,Norway,FRG,1,1,,Preliminary,Oslo,1954
162,Bulgaria,Czechoslovakia,1,2,,Preliminary,Sofija,1954
163,Luxembourg,France,1,6,,Preliminary,Luxembourg,1954
164,Belgium,Finland,2,2,,Preliminary,Bruxelles,1954
165,Austria,Portugal,9,1,,Preliminary,Wien,1954
166,Northern Ireland,Scotland,1,3,,Preliminary,Belfast,1954
167,Ireland,France,3,5,,Preliminary,Dublin,1954
168,Belgium,Sweden,2,0,,Preliminary,Bruxelles,1954
169,Wales,England,1,4,,Preliminary,Cardiff,1954
170,FRG,Saarland,3,0,,Preliminary,Stuttgart,1954
171,Bulgaria,Romania,1,2,,Preliminary,Sofija,1954
172,Romania,Czechoslovakia,0,1,,Preliminary,Bucureşti,1954
173,Ireland,Luxembourg,4,0,,Preliminary,Dublin,1954
174,Greece,Israel,1,0,,Preliminary,Athína,1954
175,Scotland,Wales,3,3,,Preliminary,Glasgow,1954
176,Saarland,Norway,0,0,,Preliminary,Saarbrücken,1954
177,Czechoslovakia,Bulgaria,0,0,,Preliminary,Bratislava,1954
178,Yugoslavia,Israel,1,0,,Preliminary,Skopje,1954
179,England,Northern Ireland,3,1,,Preliminary,Liverpool,1954
180,Egypt,Italy,1,2,,Preliminary,Cairo,1954
181,FRG,Norway,5,1,,Preliminary,Hamburg,1954
182,France,Ireland,1,0,,Preliminary,Paris,1954
183,Portugal,Austria,0,0,,Preliminary,Lisboa,1954
184,France,Luxembourg,8,0,,Preliminary,Paris,1954
185,Haiti,Mexico,0,4,,Preliminary,Port-au-Prince,1954
186,Spain,Turkey,4,1,,Preliminary,Madrid,1954
187,USA,Mexico,0,4,,Preliminary,México DF,1954
188,Mexico,USA,3,1,,Preliminary,México DF,1954
189,Italy,Egypt,5,1,,Preliminary,Milano,1954
190,Paraguay,Chile,4,0,,Preliminary,Asunción,1954
191,Chile,Paraguay,1,3,,Preliminary,Santiago,1954
192,Chile,Brazil,0,2,,Preliminary,Santiago,1954
193,Luxembourg,Ireland,0,1,,Preliminary,Luxembourg,1954
194,Paraguay,Brazil,0,1,,Preliminary,Asunción,1954
195,Japan,South Korea,1,5,,Preliminary,Tokyo,1954
196,Israel,Greece,0,2,,Preliminary,Tel Aviv,1954
197,Turkey,Spain,1,0,,Preliminary,İstanbul,1954
198,Brazil,Chile,1,0,,Preliminary,Rio de Janeiro,1954
199,South Korea,Japan,2,2,,Preliminary,Tokyo,1954
200,Turkey,Spain,2,2,,Preliminary,Roma,1954
201,Israel,Yugoslavia,0,1,,Preliminary,Tel Aviv,1954
202,Brazil,Paraguay,4,1,,Preliminary,Rio de Janeiro,1954
203,Saarland,FRG,1,3,,Preliminary,Saarbrücken,1954
204,Greece,Yugoslavia,0,1,,Preliminary,Athína,1954
205,Wales,Northern Ireland,1,2,,Preliminary,Wrexham,1954
206,Scotland,England,2,4,,Preliminary,Glasgow,1954
207,Haiti,USA,2,3,,Preliminary,Port-au-Prince,1954
208,USA,Haiti,3,0,,Preliminary,Port-au-Prince,1954
103,West Germany,Argentina,3,1,1958/06/08,Group Stage,Malmo,1958
104,Northern Ireland,Czechoslovakia,1,0,1958/06/08,Group Stage,Halmstad,1958
105,France,Paraguay,7,3,1958/06/08,Group Stage,Norrkoping,1958
106,Yugoslavia,Scotland,1,1,1958/06/08,Group Stage,Vasteras,1958
107,Sweden,Mexico,3,0,1958/06/08,Group Stage,Stockholm,1958
108,Hungary,Wales,1,1,1958/06/08,Group Stage,Sandviken,1958
109,England,Soviet Union,2,2,1958/06/08,Group Stage,Gothenburg,1958
110,Brazil,Austria,3,0,1958/06/08,Group Stage,Uddevalla,1958
111,France,Yugoslavia,2,3,1958/06/11,Group Stage,Vasteras,1958
112,West Germany,Czechoslovakia,2,2,1958/06/11,Group Stage,Helsingborg,1958
113,Paraguay,Scotland,3,2,1958/06/11,Group Stage,Norrkoping,1958
114,Argentina,Northern Ireland,3,1,1958/06/11,Group Stage,Halmstad,1958
115,Brazil,England,0,0,1958/06/11,Group Stage,Gothenburg,1958
116,Soviet Union,Austria,2,0,1958/06/11,Group Stage,Boras,1958
117,Sweden,Hungary,2,1,1958/06/12,Group Stage,Stockholm,1958
118,Wales,Mexico,1,1,1958/06/11,Group Stage,Stockholm,1958
119,West Germany,Northern Ireland,2,2,1958/06/15,Group Stage,Malmo,1958
120,Czechoslovakia,Argentina,6,1,1958/06/15,Group Stage,Helsingborg,1958
121,Yugoslavia,Paraguay,3,3,1958/06/15,Group Stage,Eskilstuna,1958
122,France,Scotland,2,1,1958/06/15,Group Stage,Orebro,1958
123,Sweden,Wales,0,0,1958/06/15,Group Stage,Stockholm,1958
124,Hungary,Mexico,4,0,1958/06/15,Group Stage,Sandviken,1958
125,Brazil,Soviet Union,2,0,1958/06/15,Group Stage,Gothenburg,1958
126,England,Austria,2,2,1958/06/15,Group Stage,Boras,1958
127,Northern Ireland,Czechoslovakia,2,1,1958/06/17,Group Stage,Malmo,1958
128,Wales,Hungary,2,1,1958/06/17,Group Stage,Stockholm,1958
129,Soviet Union,England,1,0,1958/06/17,Group Stage,Gothenburg,1958
130,Sweden,Soviet Union,2,0,1958/06/19,Quarter-finals,Stockholm,1958
131,West Germany,Yugoslavia,1,0,1958/06/19,Quarter-finals,Malmo,1958
132,France,Northern Ireland,4,0,1958/06/19,Quarter-finals,Norrkoping,1958
133,Brazil,Wales,1,0,1958/06/19,Quarter-finals,Gothenburg,1958
134,Sweden,West Germany,3,1,1958/06/24,Semi-finals,Gothenburg,1958
135,Brazil,France,5,2,1958/06/24,Semi-finals,Stockholm,1958
136,France,West Germany,6,3,1958/06/28,Third Place,Gothenburg,1958
137,Brazil,Sweden,5,2,1958/06/29,Final,Stockholm,1958
235,Austria,Luxembourg,7,0,,Preliminary,Wien,1958
236,Ireland,Denmark,2,1,,Preliminary,Dublin,1958
237,France,Belgium,6,3,,Preliminary,Paris,1958
238,England,Denmark,5,2,,Preliminary,Wolverhampton,1958
239,Portugal,Northern Ireland,1,1,,Preliminary,Lisboa,1958
240,Guatemala,Costa Rica,2,6,,Preliminary,Guatemala,1958
241,Costa Rica,Guatemala,3,1,,Preliminary,San José,1958
242,Costa Rica,Curaçao,4,0,,Preliminary,San José,1958
243,Sudan,Syria,1,0,,Preliminary,Khartoum,1958
244,Spain,Switzerland,2,2,,Preliminary,Madrid,1958
245,Guatemala,Curaçao,1,3,,Preliminary,Guatemala,1958
246,Netherlands,Luxembourg,4,1,,Preliminary,Rotterdam,1958
247,Mexico,USA,6,0,,Preliminary,México DF,1958
248,Peru,Brazil,1,1,,Preliminary,Lima,1958
249,Brazil,Peru,1,0,,Preliminary,Rio de Janeiro,1958
250,Italy,Northern Ireland,1,0,,Preliminary,Roma,1958
251,USA,Mexico,2,7,,Preliminary,Los Angeles,1958
252,Wales,Czechoslovakia,1,0,,Preliminary,Cardiff,1958
253,Northern Ireland,Portugal,3,0,,Preliminary,Belfast,1958
254,Greece,Yugoslavia,0,0,,Preliminary,Athína,1958
255,England,Ireland,5,1,,Preliminary,London,1958
256,Scotland,Spain,4,2,,Preliminary,Glasgow,1958
257,Indonesia,China,2,0,,Preliminary,Jakarta,1958
258,Denmark,England,1,4,,Preliminary,København,1958
259,Ireland,England,1,1,,Preliminary,Dublin,1958
260,GDR,Wales,2,1,,Preliminary,Leipzig,1958
261,Switzerland,Scotland,1,2,,Preliminary,Basel,1958
262,Norway,Bulgaria,1,2,,Preliminary,Oslo,1958
263,Syria,Sudan,1,1,,Preliminary,Damascus,1958
264,Czechoslovakia,Wales,2,0,,Preliminary,Praha,1958
265,Austria,Netherlands,3,2,,Preliminary,Wien,1958
266,Portugal,Italy,3,0,,Preliminary,Lisboa,1958
267,Spain,Scotland,4,1,,Preliminary,Madrid,1958
268,France,Iceland,8,0,,Preliminary,Nantes,1958
269,China,Indonesia,4,3,,Preliminary,Beijing,1958
270,Belgium,Iceland,8,3,,Preliminary,Bruxelles,1958
271,Norway,Hungary,2,1,,Preliminary,Oslo,1958
272,Czechoslovakia,GDR,3,1,,Preliminary,Brno,1958
273,Greece,Romania,1,2,,Preliminary,Athína,1958
274,Colombia,Uruguay,1,1,,Preliminary,Bogotá,1958
275,Colombia,Paraguay,2,3,,Preliminary,Bogotá,1958
276,Canada,USA,5,1,,Preliminary,Toronto,1958
277,Hungary,Bulgaria,4,1,,Preliminary,Budapest,1958
278,Soviet Union,Poland,3,0,,Preliminary,Moskva,1958
279,Indonesia,China,0,0,,Preliminary,Rangoon,1958
280,Uruguay,Colombia,1,0,,Preliminary,Montevideo,1958
281,Canada,Mexico,0,3,,Preliminary,México DF,1958
282,Mexico,Canada,2,0,,Preliminary,México DF,1958
283,Finland,Poland,1,3,,Preliminary,Helsinki,1958
284,USA,Canada,2,3,,Preliminary,St Louis,1958
285,Paraguay,Colombia,3,0,,Preliminary,Asunción,1958
286,Paraguay,Uruguay,5,0,,Preliminary,Asunción,1958
287,Soviet Union,Finland,2,1,,Preliminary,Moskva,1958
288,Uruguay,Paraguay,2,0,,Preliminary,Montevideo,1958
289,Curaçao,Costa Rica,1,2,,Preliminary,Willemstad,1958
290,Curaçao,Guatemala,2,0,,Preliminary,Willemstad,1958
291,Finland,Soviet Union,0,10,,Preliminary,Helsinki,1958
292,Iceland,France,1,5,,Preliminary,Reykjavík,1958
293,Iceland,Belgium,2,5,,Preliminary,Reykjavík,1958
294,Luxembourg,Netherlands,2,5,,Preliminary,Rotterdam,1958
295,Bulgaria,Hungary,1,2,,Preliminary,Sofija,1958
296,Chile,Bolivia,2,1,,Preliminary,Santiago,1958
297,Wales,GDR,4,1,,Preliminary,Cardiff,1958
298,Netherlands,Austria,1,1,,Preliminary,Amsterdam,1958
299,Luxembourg,Austria,0,3,,Preliminary,Luxembourg,1958
300,Romania,Yugoslavia,1,1,,Preliminary,Bucureşti,1958
301,Bolivia,Chile,3,0,,Preliminary,La Paz,1958
302,Denmark,Ireland,0,2,,Preliminary,København,1958
303,Bolivia,Argentina,2,0,,Preliminary,La Paz,1958
304,Chile,Argentina,0,2,,Preliminary,Santiago,1958
305,Poland,Soviet Union,2,1,,Preliminary,Chorzów,1958
306,Argentina,Chile,4,0,,Preliminary,Buenos Aires,1958
307,Mexico,Costa Rica,2,0,,Preliminary,México DF,1958
308,Belgium,France,0,0,,Preliminary,Bruxelles,1958
309,GDR,Czechoslovakia,1,4,,Preliminary,Leipzig,1958
310,Argentina,Bolivia,4,0,,Preliminary,Buenos Aires,1958
311,Costa Rica,Mexico,1,1,,Preliminary,San José,1958
312,Bulgaria,Norway,7,0,,Preliminary,Sofija,1958
313,Poland,Finland,4,0,,Preliminary,Warszawa,1958
314,Romania,Greece,3,0,,Preliminary,Bucureşti,1958
315,Scotland,Switzerland,3,2,,Preliminary,Glasgow,1958
316,Hungary,Norway,5,0,,Preliminary,Budapest,1958
317,Yugoslavia,Greece,4,1,,Preliminary,Beograd,1958
318,Yugoslavia,Romania,2,0,,Preliminary,Beograd,1958
319,Soviet Union,Poland,2,0,,Preliminary,Leipzig,1958
320,Switzerland,Spain,1,4,,Preliminary,Lausanne,1958
321,Italy,Portugal,3,0,,Preliminary,Milano,1958
322,Northern Ireland,Italy,2,1,,Preliminary,Belfast,1958
323,Israel,Wales,0,2,,Preliminary,Tel Aviv,1958
324,Wales,Israel,2,0,,Preliminary,Cardiff,1958
138,Uruguay,Colombia,2,1,1962/05/30,Group Stage,Arica,1962
139,Soviet Union,Yugoslavia,2,0,1962/05/31,Group Stage,Arica,1962
140,Argentina,Bulgaria,1,0,1962/05/30,Group Stage,Rancagua,1962
141,Hungary,England,2,1,1962/05/31,Group Stage,Rancagua,1962
142,Chile,Switzerland,3,1,1962/05/30,Group Stage,Santiago,1962
143,West Germany,Italy,0,0,1962/05/31,Group Stage,Santiago,1962
144,Brazil,Mexico,2,0,1962/05/30,Group Stage,Vina del Mar,1962
145,Czechoslovakia,Spain,1,0,1962/05/31,Group Stage,Vina del Mar,1962
146,Colombia,Soviet Union,4,4,1962/06/03,Group Stage,Arica,1962
147,Uruguay,Yugoslavia,3,1,1962/06/02,Group Stage,Arica,1962
148,Hungary,Bulgaria,6,1,1962/06/03,Group Stage,Rancagua,1962
149,England,Argentina,3,1,1962/06/02,Group Stage,Rancagua,1962
150,Chile,Italy,2,0,1962/06/02,Group Stage,Santiago,1962
151,West Germany,Switzerland,2,1,1962/06/03,Group Stage,Santiago,1962
152,Brazil,Czechoslovakia,0,0,1962/06/02,Group Stage,Vina del Mar,1962
153,Spain,Mexico,1,0,1962/06/03,Group Stage,Vina del Mar,1962
154,Soviet Union,Uruguay,2,1,1962/06/06,Group Stage,Arica,1962
155,Yugoslavia,Colombia,5,0,1962/06/07,Group Stage,Arica,1962
156,Argentina,Hungary,0,0,1962/06/06,Group Stage,Rancagua,1962
157,England,Bulgaria,0,0,1962/06/07,Group Stage,Rancagua,1962
158,West Germany,Chile,2,0,1962/06/06,Group Stage,Santiago,1962
159,Italy,Switzerland,3,0,1962/06/07,Group Stage,Santiago,1962
160,Brazil,Spain,2,1,1962/06/06,Group Stage,Vina del Mar,1962
161,Czechoslovakia,Mexico,1,3,1962/06/07,Group Stage,Vina del Mar,1962
162,Yugoslavia,West Germany,0,1,1962/06/10,Quarter-finals,Santiago,1962
163,Chile,Soviet Union,2,1,1962/06/10,Quarter-finals,Arica,1962
164,Brazil,England,3,1,1962/06/10,Quarter-finals,Vina del Mar,1962
165,Czechoslovakia,Hungary,1,0,1962/06/10,Quarter-finals,Rancagua,1962
166,Brazil,Chile,4,2,1962/06/13,Semi-finals,Santiago,1962
