id_match,home_team,away_team,home_score,away_score,date,round,city,edition
73,Brazil,Spain,6,1,1950-07-13,Group Stage,Rio de Janeiro,1950
74,Uruguay,Sweden,3,2,1950-07-13,Group Stage,Sao Paulo,1950
75,Sweden,Spain,3,1,1950-07-16,Third Place,Sao Paulo,1950
76,Uruguay,Brazil,2,1,1950-07-16,Final,Rio de Janeiro,1950
77,Yugoslavia,France,1,0,1954-06-16,Group Stage,Lausanne,1954
78,Brazil,Mexico,5,0,1954-06-16,Group Stage,Geneva,1954
79,Hungary,Korea Republic,9,0,1954-06-17,Group Stage,Zurich,1954
80,West Germany,Turkey,4,1,1954-06-17,Group Stage,Bern,1954
81,Turkey,Korea Republic,7,0,1954-06-20,Group Stage,Geneva,1954
82,Uruguay,Czechoslovakia,2,0,1954-06-16,Group Stage,Bern,1954
83,Austria,Scotland,1,0,1954-06-16,Group Stage,Zurich,1954
84,England,Belgium,4,4,1954-06-17,Group Stage,Basel,1954
85,Italy,Switzerland,1,2,1954-06-17,Group Stage,Lausanne,1954
86,West Germany,Hungary,3,8,1954-06-20,Group Stage,Basel,1954
87,Uruguay,Scotland,7,0,1954-06-19,Group Stage,Basel,1954
88,Austria,Czechoslovakia,5,0,1954-06-19,Group Stage,Zurich,1954
89,England,Switzerland,2,0,1954-06-20,Group Stage,Bern,1954
90,Italy,Belgium,4,1,1954-06-20,Group Stage,Lugano,1954
91,Switzerland,Italy,4,1,1954-06-23,Group Stage,Basel,1954
92,Brazil,Yugoslavia,1,1,1954-06-19,Group Stage,Lausanne,1954
93,France,Mexico,3,2,1954-06-19,Group Stage,Geneva,1954
94,West Germany,Turkey,7,2,1954-06-23,Group Stage,Zurich,1954
95,Uruguay,Austria,3,1,1954-06-26,Quarter-finals,Lausanne,1954
96,Hungary,Brazil,4,2,1954-06-27,Quarter-finals,Bern,1954
97,West Germany,Yugoslavia,2,0,1954-06-27,Quarter-finals,Geneva,1954
98,England,Switzerland,2,4,1954-06-26,Quarter-finals,Basel,1954
99,Hungary,Uruguay,4,2,1954-06-30,Semi-finals,Lausanne,1954
100,West Germany,Austria,6,1,1954-06-30,Semi-finals,Basel,1954
101,Austria,Uruguay,3,1,1954-07-03,Third Place,Zurich,1954
102,West Germany,Hungary,3,2,1954-07-04,Final,Bern,1954
103,West Germany,Argentina,3,1,1958-06-08,Group Stage,Malmo,1958
104,Northern Ireland,Czechoslovakia,1,0,1958-06-08,Group Stage,Halmstad,1958
105,France,Paraguay,7,3,1958-06-08,Group Stage,Norrkoping,1958
106,Yugoslavia,Scotland,1,1,1958-06-08,Group Stage,Vasteras,1958
